date,home_team,away_team,home_score,away_score,season
2021-11-09,Gonzaga Bulldogs,Utah Tech Trailblazers,97,63,2022
2021-11-09,UCLA Bruins,Cal State Bakersfield Roadrunners,95,58,2022
2021-11-09,Villanova Wildcats,Mount St. Mary's Mountaineers,91,51,2022
2021-11-09,Texas Longhorns,Houston Christian Huskies,92,48,2022
2021-11-09,Purdue Boilermakers,Bellarmine Knights,96,67,2022
2021-11-09,Illinois Fighting Illini,Jackson State Tigers,71,47,2022
2021-11-09,Memphis Tigers,Tennessee Tech Golden Eagles,89,65,2022
2021-11-09,Oregon Ducks,Texas Southern Tigers,83,66,2022
2021-11-09,Alabama Crimson Tide,Louisiana Tech Bulldogs,93,64,2022
2021-11-09,Houston Cougars,Hofstra Pride,83,75,2022
2021-11-09,Arkansas Razorbacks,Mercer Bears,74,61,2022
2021-11-09,Ohio State Buckeyes,Akron Zips,67,66,2022
2021-11-09,Tennessee Volunteers,UT Martin Skyhawks,90,62,2022
2021-11-09,North Carolina Tar Heels,Loyola Maryland Greyhounds,83,67,2022
2021-11-09,Maryland Terrapins,Quinnipiac Bobcats,83,69,2022
2021-11-09,Auburn Tigers,Morehead State Eagles,77,54,2022
2021-11-09,St. Bonaventure Bonnies,Siena Saints,75,47,2022
2021-11-09,UConn Huskies,Central Connecticut Blue Devils,99,48,2022
2021-11-09,Virginia Cavaliers,Navy Midshipmen,58,66,2022
2021-11-10,Michigan Wolverines,Buffalo Bulls,88,76,2022
2021-11-10,Florida State Seminoles,Pennsylvania Quakers,105,70,2022
2021-11-11,Maryland Terrapins,George Washington Revolutionaries,71,64,2022
2021-11-12,UCLA Bruins,Villanova Wildcats,86,77,2022
2021-11-12,Kansas Jayhawks,Tarleton State Texans,88,62,2022
2021-11-12,Purdue Boilermakers,Indiana State Sycamores,92,67,2022
2021-11-12,Baylor Bears,Incarnate Word Cardinals,87,60,2022
2021-11-12,Illinois Fighting Illini,Arkansas State Red Wolves,92,53,2022
2021-11-12,Oregon Ducks,SMU Mustangs,86,63,2022
2021-11-12,Alabama Crimson Tide,South Dakota State Jackrabbits,104,88,2022
2021-11-12,Houston Cougars,Rice Owls,79,46,2022
2021-11-12,Ohio State Buckeyes,Niagara Purple Eagles,84,74,2022
2021-11-12,North Carolina Tar Heels,Brown Bears,94,87,2022
2021-11-12,Auburn Tigers,UL Monroe Warhawks,93,65,2022
2021-11-12,Virginia Cavaliers,Radford Highlanders,73,52,2022
2021-11-13,Gonzaga Bulldogs,Texas Longhorns,86,74,2022
2021-11-13,Memphis Tigers,North Carolina Central Eagles,90,51,2022
2021-11-13,Arkansas Razorbacks,Gardner-Webb Runnin' Bulldogs,86,69,2022
2021-11-13,UConn Huskies,Coppin State Eagles,89,54,2022
2021-11-14,Tennessee Volunteers,East Tennessee State Buccaneers,94,62,2022
2021-11-14,Florida Gators,Florida State Seminoles,71,55,2022
2021-11-14,St. Bonaventure Bonnies,Canisius Golden Griffins,69,60,2022
2021-11-15,Gonzaga Bulldogs,Alcorn State Braves,84,57,2022
2021-11-15,UCLA Bruins,Long Beach State Beach,100,79,2022
2021-11-15,Baylor Bears,Nicholls Colonels,89,60,2022
2021-11-15,Ohio State Buckeyes,Bowling Green Falcons,89,58,2022
2021-11-16,Villanova Wildcats,Howard Bison,100,81,2022
2021-11-16,Purdue Boilermakers,Wright State Raiders,96,52,2022
2021-11-16,Duke Blue Devils,Gardner-Webb Runnin' Bulldogs,92,52,2022
2021-11-16,Memphis Tigers,Saint Louis Billikens,90,74,2022
2021-11-16,Alabama Crimson Tide,South Alabama Jaguars,73,68,2022
2021-11-16,Houston Cougars,Virginia Cavaliers,67,47,2022
2021-11-16,Charleston Cougars,North Carolina Tar Heels,83,94,2022
2021-11-17,UCLA Bruins,North Florida Ospreys,98,63,2022
2021-11-17,Baylor Bears,Central Arkansas Bears,92,47,2022
2021-11-17,Arkansas Razorbacks,Northern Iowa Panthers,93,80,2022
2021-11-17,Maryland Terrapins,George Mason Patriots,66,71,2022
2021-11-17,UConn Huskies,Long Island University Sharks,93,40,2022
2021-11-18,Kansas Jayhawks,Stony Brook Seawolves,88,59,2022
2021-11-18,Florida Gators,Milwaukee Panthers,81,45,2022
2021-11-19,Duke Blue Devils,Lafayette Leopards,88,55,2022
2021-11-19,Memphis Tigers,Western Kentucky Hilltoppers,74,62,2022
2021-11-19,Alabama Crimson Tide,Oakland Golden Grizzlies,86,59,2022
2021-11-19,Maryland Terrapins,Hofstra Pride,69,67,2022
2021-11-19,South Florida Bulls,Auburn Tigers,52,58,2022
2021-11-20,Baylor Bears,Stanford Cardinal,86,48,2022
2021-11-20,UConn Huskies,Binghamton Bearcats,87,63,2022
2021-11-21,Xavier Musketeers,Norfolk State Spartans,88,48,2022
2021-11-21,High Point Panthers,Georgia State Panthers,66,74,2022
2021-11-21,South Dakota Coyotes,Tennessee State Tigers,83,66,2022
2021-11-21,Oregon State Beavers,Princeton Tigers,80,81,2022
2021-11-21,Furman Paladins,Navy Midshipmen,66,77,2022
2021-11-21,UAB Blazers,Alabama A&M Bulldogs,86,41,2022
2021-11-21,Mississippi State Bulldogs,Morehead State Eagles,66,46,2022
2021-11-21,Southern Miss Golden Eagles,Lamar Cardinals,82,75,2022
2021-11-21,Youngstown State Penguins,Niagara Purple Eagles,53,58,2022
