date,home_team,away_team,home_score,away_score,season
2020-12-25,Nebraska Cornhuskers,Michigan Wolverines,69,80,2021
2020-12-26,UCF Knights,Houston Cougars,54,63,2021
2020-12-26,Illinois Fighting Illini,Indiana Hoosiers,69,60,2021
2020-12-26,Northwestern Wildcats,Ohio State Buckeyes,71,70,2021
2020-12-27,Indiana State Sycamores,Drake Bulldogs,63,81,2021
2020-12-27,Cleveland State Vikings,Youngstown State Penguins,81,74,2021
2020-12-27,New Hampshire Wildcats,Hartford Hawks,77,69,2021
2020-12-27,UMBC Retrievers,Binghamton Bearcats,74,67,2021
2020-12-27,Monmouth Hawks,Canisius Golden Griffins,84,66,2021
2020-12-27,Eastern Michigan Eagles,Olivet Comets,94,65,2021
2020-12-27,Wright State Raiders,Green Bay Phoenix,90,77,2021
2020-12-27,Stony Brook Seawolves,UMass Lowell River Hawks,73,58,2021
2020-12-27,Jacksonville State Gamecocks,Carver College Cougars,104,45,2021
2020-12-27,Vermont Catamounts,NJIT Highlanders,92,78,2021
2020-12-27,Detroit Mercy Titans,Oakland Golden Grizzlies,80,83,2021
2020-12-27,Vanderbilt Commodores,Alcorn State Braves,87,59,2021
2020-12-27,Southern Illinois Salukis,Evansville Purple Aces,63,57,2021
2020-12-27,Loyola Chicago Ramblers,Illinois State Redbirds,90,60,2021
2020-12-27,Northern Iowa Panthers,Missouri State Bears,59,79,2021
2020-12-27,Providence Friars,DePaul Blue Demons,95,90,2021
2020-12-27,Purdue Fort Wayne Mastodons,Robert Morris Colonials,87,82,2021
2020-12-27,UC Irvine Anteaters,UC Santa Barbara Gauchos,75,56,2021
2020-12-28,Gonzaga Bulldogs,Northern Arizona Lumberjacks,88,58,2021
2020-12-28,Wisconsin Badgers,Maryland Terrapins,64,70,2021
2020-12-28,Minnesota Golden Gophers,Michigan State Spartans,81,56,2021
2020-12-29,Gonzaga Bulldogs,Utah Tech Trailblazers,112,67,2021
2020-12-29,Baylor Bears,Central Arkansas Bears,93,56,2021
2020-12-29,West Virginia Mountaineers,Northeastern Huskies,73,51,2021
2020-12-29,Iowa Hawkeyes,Northwestern Wildcats,87,72,2021
2020-12-29,Texas Tech Red Raiders,Incarnate Word Cardinals,79,51,2021
2020-12-29,Rutgers Scarlet Knights,Purdue Boilermakers,81,76,2021
2020-12-29,Clemson Tigers,Florida State Seminoles,77,67,2021
2020-12-29,Virginia Tech Hokies,Miami Hurricanes,80,78,2021
2020-12-30,Baylor Bears,Alcorn State Braves,105,76,2021
2020-12-30,Missouri Tigers,Tennessee Volunteers,53,73,2021
2020-12-30,Notre Dame Fighting Irish,Virginia Cavaliers,57,66,2021
2020-12-30,Ohio State Buckeyes,Nebraska Cornhuskers,90,54,2021
2020-12-31,Wisconsin Badgers,Minnesota Golden Gophers,71,59,2021
2020-12-31,Maryland Terrapins,Michigan Wolverines,73,84,2021
2020-12-31,Oregon Ducks,California Golden Bears,82,69,2021
2021-01-01,Canisius Golden Griffins,Saint Peter's Peacocks,70,58,2021
2021-01-01,Marist Red Foxes,Niagara Purple Eagles,63,61,2021
2021-01-01,Incarnate Word Cardinals,McMurry War Hawks,81,54,2021
2021-01-01,Lipscomb Bisons,Liberty Flames,77,70,2021
2021-01-01,Rice Owls,UTSA Roadrunners,95,86,2021
2021-01-01,Montana State Bobcats,Montana-Western Bulldogs,96,67,2021
2021-01-01,Youngstown State Penguins,Green Bay Phoenix,84,77,2021
2021-01-01,Fairfield Stags,Rider Broncs,62,70,2021
2021-01-01,Little Rock Trojans,UT Arlington Mavericks,102,93,2021
2021-01-01,Robert Morris Colonials,Milwaukee Panthers,67,64,2021
2021-01-01,Northern Kentucky Norse,Purdue Fort Wayne Mastodons,75,68,2021
2021-01-01,Kennesaw State Owls,Jacksonville Dolphins,57,62,2021
2021-01-01,Coastal Carolina Chanticleers,Georgia State Panthers,81,69,2021
2021-01-01,Georgia Southern Eagles,South Alabama Jaguars,59,88,2021
2021-01-01,App State Mountaineers,Troy Trojans,56,69,2021
2021-01-01,Akron Zips,Kent State Golden Flashes,66,62,2021
2021-01-01,Bellarmine Knights,Transylvania Pioneers,90,40,2021
2021-01-01,Oakland Golden Grizzlies,Wright State Raiders,51,90,2021
2021-01-01,IU Indianapolis Jaguars,Cleveland State Vikings,62,65,2021
2021-01-01,Louisiana Ragin' Cajuns,Texas State Bobcats,83,77,2021
2021-01-01,UL Monroe Warhawks,Arkansas State Red Wolves,84,72,2021
2021-01-01,Florida International Panthers,Old Dominion Monarchs,82,67,2021
2021-01-01,Long Beach State Beach,Cal State Bakersfield Roadrunners,90,89,2021
2021-01-01,Louisiana Tech Bulldogs,Marshall Thundering Herd,75,68,2021
2021-01-01,Southern Miss Golden Eagles,UTEP Miners,74,66,2021
2021-01-01,UC Santa Barbara Gauchos,Cal State Fullerton Titans,81,63,2021
2021-01-01,Charlotte 49ers,Western Kentucky Hilltoppers,63,67,2021
2021-01-02,Gonzaga Bulldogs,San Francisco Dons,85,62,2021
2021-01-02,Iowa State Cyclones,Baylor Bears,65,76,2021
2021-01-02,Kansas Jayhawks,Texas Longhorns,59,84,2021
2021-01-02,Tennessee Volunteers,Alabama Crimson Tide,63,71,2021
2021-01-02,Oklahoma Sooners,West Virginia Mountaineers,75,71,2021
2021-01-02,Rutgers Scarlet Knights,Iowa Hawkeyes,75,77,2021
2021-01-02,Providence Friars,Creighton Bluejays,65,67,2021
2021-01-02,Arkansas Razorbacks,Missouri Tigers,68,81,2021
2021-01-02,Texas Tech Red Raiders,Oklahoma State Cowboys,77,82,2021
2021-01-02,Illinois Fighting Illini,Purdue Boilermakers,66,58,2021
2021-01-02,Nebraska Cornhuskers,Michigan State Spartans,77,84,2021
2021-01-02,Oregon Ducks,Stanford Cardinal,73,56,2021
2021-01-03,SMU Mustangs,Houston Cougars,60,74,2021
2021-01-03,Michigan Wolverines,Northwestern Wildcats,85,66,2021
2021-01-03,Minnesota Golden Gophers,Ohio State Buckeyes,77,60,2021
2021-01-04,Oklahoma State Cowboys,West Virginia Mountaineers,84,87,2021
2021-01-05,Texas Longhorns,Iowa State Cyclones,78,72,2021
2021-01-05,TCU Horned Frogs,Kansas Jayhawks,64,93,2021
2021-01-05,Mississippi State Bulldogs,Missouri Tigers,78,63,2021
2021-01-05,Michigan State Spartans,Rutgers Scarlet Knights,68,45,2021
2021-01-05,Texas Tech Red Raiders,Kansas State Wildcats,82,71,2021
2021-01-05,Clemson Tigers,NC State Wolfpack,74,70,2021
2021-01-06,Baylor Bears,Oklahoma Sooners,76,61,2021
2021-01-06,Creighton Bluejays,Seton Hall Pirates,89,53,2021
2021-01-06,Tennessee Volunteers,Arkansas Razorbacks,79,74,2021
2021-01-06,Michigan Wolverines,Minnesota Golden Gophers,82,57,2021
2021-01-06,Houston Cougars,Wichita State Shockers,70,63,2021
2021-01-06,Louisville Cardinals,Virginia Tech Hokies,73,71,2021
2021-01-06,Virginia Cavaliers,Wake Forest Demon Deacons,70,61,2021
2021-01-07,Maryland Terrapins,Iowa Hawkeyes,67,89,2021
2021-01-07,Wisconsin Badgers,Indiana Hoosiers,80,73,2021
2021-01-07,Northwestern Wildcats,Illinois Fighting Illini,56,81,2021
2021-01-07,Colorado Buffaloes,Oregon Ducks,79,72,2021
2021-01-07,Gonzaga Bulldogs,BYU Cougars,86,69,2021
2021-01-08,Michigan State Spartans,Purdue Boilermakers,54,55,2021
2021-01-09,Portland Pilots,Gonzaga Bulldogs,88,116,2021
2021-01-09,TCU Horned Frogs,Baylor Bears,49,67,2021
2021-01-09,West Virginia Mountaineers,Texas Longhorns,70,72,2021
2021-01-09,Kansas Jayhawks,Oklahoma Sooners,63,59,2021
2021-01-09,Creighton Bluejays,St. John's Red Storm,97,79,2021
2021-01-09,Texas A&M Aggies,Tennessee Volunteers,54,68,2021
2021-01-09,Houston Cougars,Tulane Green Wave,71,50,2021
2021-01-09,Rutgers Scarlet Knights,Ohio State Buckeyes,68,79,2021
2021-01-09,Utah Utes,Oregon Ducks,73,79,2021
2021-01-09,Iowa State Cyclones,Texas Tech Red Raiders,64,91,2021
2021-01-09,Duke Blue Devils,Wake Forest Demon Deacons,79,68,2021
2021-01-09,Boston College Eagles,Virginia Cavaliers,49,61,2021
2021-01-10,Iowa Hawkeyes,Minnesota Golden Gophers,86,71,2021
2021-01-10,Illinois Fighting Illini,Maryland Terrapins,63,66,2021
2021-01-10,Virginia Tech Hokies,Notre Dame Fighting Irish,77,63,2021
2021-01-11,DePaul Blue Demons,UConn Huskies,53,60,2021
2021-01-12,Oklahoma State Cowboys,Kansas Jayhawks,75,70,2021
2021-01-12,Michigan Wolverines,Wisconsin Badgers,77,54,2021
2021-01-12,Virginia Tech Hokies,Duke Blue Devils,74,67,2021
2021-01-13,Texas Longhorns,Texas Tech Red Raiders,77,79,2021
2021-01-13,Wake Forest Demon Deacons,Louisville Cardinals,65,77,2021
2021-01-13,Virginia Cavaliers,Notre Dame Fighting Irish,80,68,2021
2021-01-13,Ohio State Buckeyes,Northwestern Wildcats,81,71,2021
2021-01-14,Gonzaga Bulldogs,Pepperdine Waves,95,70,2021
2021-01-15,Rutgers Scarlet Knights,Wisconsin Badgers,54,60,2021
2021-01-16,Saint Mary's Gaels,Gonzaga Bulldogs,59,73,2021
2021-01-16,Texas Tech Red Raiders,Baylor Bears,60,68,2021
2021-01-16,Texas Longhorns,Kansas State Wildcats,82,67,2021
2021-01-16,Minnesota Golden Gophers,Michigan Wolverines,75,57,2021
2021-01-16,Butler Bulldogs,Creighton Bluejays,70,66,2021
2021-01-16,Tennessee Volunteers,Vanderbilt Commodores,81,61,2021
2021-01-16,Clemson Tigers,Virginia Cavaliers,50,85,2021
2021-01-16,Illinois Fighting Illini,Ohio State Buckeyes,81,87,2021
2021-01-16,Miami Hurricanes,Louisville Cardinals,78,72,2021
2021-01-16,Texas A&M Aggies,Missouri Tigers,52,68,2021
2021-01-17,Houston Cougars,UCF Knights,75,58,2021
2021-01-17,Wake Forest Demon Deacons,Virginia Tech Hokies,60,64,2021
2021-01-17,Northwestern Wildcats,Iowa Hawkeyes,73,96,2021
2021-01-18,Baylor Bears,Kansas Jayhawks,77,69,2021
2021-01-18,UConn Huskies,St. John's Red Storm,70,74,2021
2021-01-19,Villanova Wildcats,Seton Hall Pirates,76,74,2021
2021-01-19,Florida Gators,Tennessee Volunteers,75,49,2021
2021-01-19,Michigan Wolverines,Maryland Terrapins,87,63,2021
2021-01-19,Ohio State Buckeyes,Purdue Boilermakers,65,67,2021
2021-01-19,LSU Tigers,Alabama Crimson Tide,75,105,2021
2021-01-19,Missouri Tigers,South Carolina Gamecocks,81,70,2021
2021-01-19,Illinois Fighting Illini,Penn State Nittany Lions,79,65,2021
2021-01-20,Houston Cougars,Tulsa Golden Hurricane,86,59,2021
2021-01-20,Wisconsin Badgers,Northwestern Wildcats,68,52,2021
2021-01-20,Creighton Bluejays,Providence Friars,70,74,2021
2021-01-20,Georgia Tech Yellow Jackets,Clemson Tigers,83,65,2021
2021-01-21,Iowa Hawkeyes,Indiana Hoosiers,69,81,2021
2021-01-21,California Golden Bears,UCLA Bruins,57,61,2021
2021-01-22,Purdue Boilermakers,Michigan Wolverines,53,70,2021
2021-01-23,Gonzaga Bulldogs,Pacific Tigers,95,49,2021
2021-01-23,Oklahoma State Cowboys,Baylor Bears,66,81,2021
2021-01-23,Villanova Wildcats,Providence Friars,71,56,2021
2021-01-23,Tennessee Volunteers,Missouri Tigers,64,73,2021
2021-01-23,Temple Owls,Houston Cougars,51,68,2021
2021-01-23,Oklahoma Sooners,Kansas Jayhawks,75,68,2021
2021-01-23,Wisconsin Badgers,Ohio State Buckeyes,62,74,2021
2021-01-23,Creighton Bluejays,UConn Huskies,74,66,2021
2021-01-23,Virginia Cavaliers,Georgia Tech Yellow Jackets,64,62,2021
2021-01-23,Kansas State Wildcats,West Virginia Mountaineers,47,69,2021
2021-01-23,Syracuse Orange,Virginia Tech Hokies,78,60,2021
2021-01-23,Minnesota Golden Gophers,Maryland Terrapins,49,63,2021
2021-01-23,Alabama Crimson Tide,Mississippi State Bulldogs,81,73,2021
2021-01-23,Florida State Seminoles,Clemson Tigers,80,61,2021
2021-01-23,Oregon Ducks,Oregon State Beavers,64,75,2021
2021-01-23,Stanford Cardinal,UCLA Bruins,73,72,2021
2021-01-25,Virginia Cavaliers,Syracuse Orange,81,58,2021
2021-01-25,West Virginia Mountaineers,Texas Tech Red Raiders,88,87,2021
2021-01-26,Texas Longhorns,Oklahoma Sooners,79,80,2021
2021-01-26,Alabama Crimson Tide,Kentucky Wildcats,70,59,2021
2021-01-26,Auburn Tigers,Missouri Tigers,88,82,2021
2021-01-26,Tennessee Volunteers,Mississippi State Bulldogs,56,53,2021
2021-01-26,Saint Louis Billikens,Dayton Flyers,71,76,2021
2021-01-27,Baylor Bears,Kansas State Wildcats,107,59,2021
2021-01-27,Ohio State Buckeyes,Penn State Nittany Lions,83,79,2021
2021-01-27,Maryland Terrapins,Wisconsin Badgers,55,61,2021
2021-01-27,Florida State Seminoles,Miami Hurricanes,81,59,2021
2021-01-27,Seton Hall Pirates,Creighton Bluejays,81,85,2021
2021-01-27,Notre Dame Fighting Irish,Virginia Tech Hokies,51,62,2021
2021-01-27,Clemson Tigers,Louisville Cardinals,54,50,2021
2021-01-28,San Diego Toreros,Gonzaga Bulldogs,62,90,2021
2021-01-28,Tulane Green Wave,Houston Cougars,60,83,2021
2021-01-28,Kansas Jayhawks,TCU Horned Frogs,59,51,2021
2021-01-29,Illinois Fighting Illini,Iowa Hawkeyes,80,75,2021
2021-01-30,Pepperdine Waves,Gonzaga Bulldogs,75,97,2021
2021-01-30,Seton Hall Pirates,Villanova Wildcats,72,80,2021
2021-01-30,Virginia Tech Hokies,Virginia Cavaliers,65,51,2021
2021-01-30,Penn State Nittany Lions,Wisconsin Badgers,81,71,2021
2021-01-30,Georgia Tech Yellow Jackets,Florida State Seminoles,76,65,2021
2021-01-30,DePaul Blue Demons,Creighton Bluejays,62,69,2021
2021-01-30,Purdue Boilermakers,Minnesota Golden Gophers,81,62,2021
2021-01-30,UCLA Bruins,Oregon State Beavers,57,52,2021
2021-01-31,Houston Cougars,SMU Mustangs,70,48,2021
2021-01-31,Ohio State Buckeyes,Michigan State Spartans,79,62,2021
2021-02-01,Texas Tech Red Raiders,Oklahoma Sooners,57,52,2021
2021-02-01,Drake Bulldogs,Illinois State Redbirds,95,60,2021
2021-02-02,Texas Longhorns,Baylor Bears,69,83,2021
2021-02-02,Iowa Hawkeyes,Michigan State Spartans,84,78,2021
2021-02-02,Ole Miss Rebels,Tennessee Volunteers,52,50,2021
2021-02-02,Indiana Hoosiers,Illinois Fighting Illini,71,75,2021
2021-02-02,Iowa State Cyclones,West Virginia Mountaineers,72,76,2021
2021-02-02,Wisconsin Badgers,Penn State Nittany Lions,72,56,2021
2021-02-02,Maryland Terrapins,Purdue Boilermakers,61,60,2021
2021-02-03,St. John's Red Storm,Villanova Wildcats,70,59,2021
2021-02-03,East Carolina Pirates,Houston Cougars,82,73,2021
2021-02-03,Alabama Crimson Tide,LSU Tigers,78,60,2021
2021-02-03,NC State Wolfpack,Virginia Cavaliers,57,64,2021
2021-02-03,Creighton Bluejays,Georgetown Hoyas,79,86,2021
2021-02-03,Pittsburgh Panthers,Virginia Tech Hokies,83,72,2021
2021-02-03,Missouri Tigers,Kentucky Wildcats,75,70,2021
2021-02-03,Florida Gators,South Carolina Gamecocks,66,72,2021
2021-02-04,Pacific Tigers,Gonzaga Bulldogs,58,76,2021
2021-02-04,Iowa Hawkeyes,Ohio State Buckeyes,85,89,2021
2021-02-05,Denver Pioneers,North Dakota Fighting Hawks,82,85,2021
2021-02-05,New Hampshire Wildcats,UMass Lowell River Hawks,69,74,2021
2021-02-05,Rice Owls,Southern Miss Golden Eagles,88,62,2021
2021-02-05,Merrimack Warriors,Saint Francis Red Flash,59,54,2021
2021-02-05,St. Francis Brooklyn Terriers,Wagner Seahawks,81,84,2021
2021-02-05,Long Island University Sharks,Fairleigh Dickinson Knights,62,77,2021
2021-02-05,Green Bay Phoenix,IU Indianapolis Jaguars,71,80,2021
2021-02-05,Texas State Bobcats,Little Rock Trojans,57,47,2021
2021-02-05,Liberty Flames,Lancasater Bible College Chargers,90,49,2021
2021-02-05,Radford Highlanders,South Carolina Upstate Spartans,102,66,2021
2021-02-05,Milwaukee Panthers,Northern Kentucky Norse,73,87,2021
2021-02-05,Detroit Mercy Titans,Purdue Fort Wayne Mastodons,82,72,2021
2021-02-05,Gardner-Webb Runnin' Bulldogs,Presbyterian Blue Hose,91,64,2021
2021-02-05,Florida Gulf Coast Eagles,North Alabama Lions,86,60,2021
2021-02-05,Kent State Golden Flashes,Akron Zips,61,72,2021
2021-02-05,Penn State Nittany Lions,Maryland Terrapins,55,50,2021
2021-02-05,Dayton Flyers,George Mason Patriots,74,65,2021
2021-02-05,Robert Morris Colonials,Youngstown State Penguins,78,84,2021
2021-02-05,Oakland Golden Grizzlies,Cleveland State Vikings,72,80,2021
2021-02-05,Bellarmine Knights,Jacksonville Dolphins,71,56,2021
2021-02-05,UT Arlington Mavericks,UL Monroe Warhawks,63,56,2021
2021-02-05,Troy Trojans,Georgia Southern Eagles,68,56,2021
2021-02-05,Arkansas State Red Wolves,Louisiana Ragin' Cajuns,95,87,2021
2021-02-05,South Alabama Jaguars,Coastal Carolina Chanticleers,71,65,2021
2021-02-05,Middle Tennessee Blue Raiders,Charlotte 49ers,66,65,2021
2021-02-05,Old Dominion Monarchs,Marshall Thundering Herd,82,81,2021
2021-02-05,Florida International Panthers,UTSA Roadrunners,80,87,2021
2021-02-05,Cal State Northridge Matadors,UC Davis Aggies,80,77,2021
2021-02-05,UC Irvine Anteaters,Cal State Bakersfield Roadrunners,70,53,2021
2021-02-05,UAB Blazers,UTEP Miners,63,51,2021
2021-02-05,Stetson Hatters,Lipscomb Bisons,73,68,2021
2021-02-05,Omaha Mavericks,Western Illinois Leathernecks,77,85,2021
2021-02-05,UIC Flames,Wright State Raiders,47,72,2021
2021-02-05,North Texas Mean Green,Louisiana Tech Bulldogs,63,68,2021
2021-02-05,South Dakota State Jackrabbits,South Dakota Coyotes,56,64,2021
2021-02-05,North Dakota State Bison,Oral Roberts Golden Eagles,61,54,2021
2021-02-05,Manhattan Jaspers,Monmouth Hawks,65,70,2021
2021-02-05,Nevada Wolf Pack,Boise State Broncos,74,72,2021
2021-02-05,New Mexico State Aggies,California Baptist Lancers,75,85,2021
2021-02-05,Utah Tech Trailblazers,Seattle U Redhawks,77,76,2021
2021-02-05,Hawai'i Rainbow Warriors,Cal Poly Mustangs,84,68,2021
2021-02-06,Houston Cougars,Our Lady of the Lake Saints,112,46,2021
2021-02-06,Oklahoma State Cowboys,Texas Longhorns,75,67,2021
2021-02-06,Oklahoma Sooners,Iowa State Cyclones,79,72,2021
2021-02-06,Missouri Tigers,Alabama Crimson Tide,68,65,2021
2021-02-06,Kentucky Wildcats,Tennessee Volunteers,71,82,2021
