date,home_team,away_team,home_score,away_score,season
2020-11-25,Wisconsin Badgers,Eastern Illinois Panthers,77,67,2021
2020-11-25,Illinois Fighting Illini,North Carolina A&T Aggies,122,60,2021
2020-11-25,Michigan State Spartans,Eastern Michigan Eagles,83,67,2021
2020-11-25,Texas Tech Red Raiders,Northwestern State Demons,101,58,2021
2020-11-25,North Carolina Tar Heels,Charleston Cougars,79,60,2021
2020-11-25,Houston Cougars,Lamar Cardinals,89,45,2021
2020-11-25,Texas Longhorns,UT Rio Grande Valley Vaqueros,91,55,2021
2020-11-25,San Diego State Aztecs,UCLA Bruins,73,58,2021
2020-11-25,Ohio State Buckeyes,Illinois State Redbirds,94,67,2021
2020-11-25,Rutgers Scarlet Knights,Sacred Heart Pioneers,86,63,2021
2020-11-25,Michigan Wolverines,Bowling Green Falcons,96,82,2021
2020-11-26,Illinois Fighting Illini,Chicago State Cougars,97,38,2021
2020-11-27,Iowa Hawkeyes,Southern Jaguars,103,76,2021
2020-11-27,Wisconsin Badgers,Arkansas-Pine Bluff Golden Lions,92,58,2021
2020-11-27,Illinois Fighting Illini,Ohio Bobcats,77,75,2021
2020-11-27,Texas Tech Red Raiders,Sam Houston Bearkats,84,52,2021
2020-11-27,Rutgers Scarlet Knights,Fairleigh Dickinson Knights,96,75,2021
2020-11-28,Duke Blue Devils,Coppin State Eagles,81,71,2021
2020-11-28,Michigan State Spartans,Notre Dame Fighting Irish,80,70,2021
2020-11-29,Arizona State Sun Devils,Houston Christian Huskies,100,77,2021
2020-11-29,Rutgers Scarlet Knights,Hofstra Pride,70,56,2021
2020-11-29,Michigan Wolverines,Oakland Golden Grizzlies,81,71,2021
2020-11-29,Ohio State Buckeyes,UMass Lowell River Hawks,74,64,2021
2020-11-30,Western Carolina Catamounts,Piedmont Lions,96,58,2021
2020-11-30,Campbell Fighting Camels,St. Andrews Knights,85,51,2021
2020-11-30,App State Mountaineers,Bowling Green Falcons,76,78,2021
2020-11-30,Hofstra Pride,Fairleigh Dickinson Knights,73,58,2021
2020-11-30,Stetson Hatters,Emmanuel (MA) Lions,61,64,2021
2020-11-30,UCF Knights,Auburn Tigers,63,55,2021
2020-11-30,Mercer Bears,Georgia State Panthers,86,69,2021
2020-11-30,Xavier Musketeers,Eastern Kentucky Colonels,99,96,2021
2020-11-30,Tennessee Tech Golden Eagles,Chattanooga Mocs,54,62,2021
2020-11-30,California Golden Bears,Nicholls Colonels,60,49,2021
2020-11-30,Minnesota Golden Gophers,Loyola Marymount Lions,67,64,2021
2020-11-30,LSU Tigers,SE Louisiana Lions,96,43,2021
2020-11-30,SMU Mustangs,Texas A&M-Corpus Christi Islanders,91,54,2021
2020-11-30,Mississippi State Bulldogs,Texas State Bobcats,68,51,2021
2020-11-30,Kansas State Wildcats,Kansas City Roos,62,58,2021
2020-11-30,Seton Hall Pirates,Iona Gaels,86,64,2021
2020-11-30,Wyoming Cowboys,Texas Southern Tigers,74,76,2021
2020-11-30,Nevada Wolf Pack,Pacific Tigers,70,58,2021
2020-12-01,Wisconsin Badgers,Green Bay Phoenix,82,42,2021
2020-12-01,Creighton Bluejays,Omaha Mavericks,94,67,2021
2020-12-01,Virginia Cavaliers,Saint Francis Red Flash,76,51,2021
2020-12-02,Florida State Seminoles,North Florida Ospreys,86,58,2021
2020-12-02,Ohio State Buckeyes,Morehead State Eagles,77,44,2021
2020-12-03,Iowa Hawkeyes,Western Illinois Leathernecks,99,58,2021
2020-12-03,Kansas Jayhawks,Washburn Ichabods,89,54,2021
2020-12-03,Virginia Tech Hokies,VMI Keydets,64,57,2021
2020-12-03,California Golden Bears,Arizona State Sun Devils,62,70,2021
2020-12-04,Marquette Golden Eagles,Wisconsin Badgers,67,65,2021
2020-12-04,Michigan State Spartans,Detroit Mercy Titans,83,76,2021
2020-12-04,Creighton Bluejays,Kennesaw State Owls,93,58,2021
2020-12-04,Virginia Cavaliers,Kent State Golden Flashes,71,64,2021
2020-12-04,Texas Tech Red Raiders,Troy Trojans,80,46,2021
2020-12-05,Kansas Jayhawks,North Dakota State Bison,65,61,2021
2020-12-05,Houston Cougars,South Carolina Gamecocks,77,67,2021
2020-12-06,Michigan State Spartans,Western Michigan Broncos,79,61,2021
2020-12-06,Texas Tech Red Raiders,Grambling Tigers,81,40,2021
2020-12-07,Richmond Spiders,Wofford Terriers,77,72,2021
2020-12-08,Tennessee Volunteers,Colorado Buffaloes,56,47,2021
2020-12-09,Wisconsin Badgers,Rhode Island Rams,73,62,2021
2020-12-09,Texas Longhorns,Texas State Bobcats,74,53,2021
2020-12-09,Texas Tech Red Raiders,Abilene Christian Wildcats,51,44,2021
2020-12-09,Richmond Spiders,Northern Iowa Panthers,78,68,2021
2020-12-10,Arizona State Sun Devils,San Diego State Aztecs,68,80,2021
2020-12-11,Iowa Hawkeyes,Iowa State Cyclones,105,77,2021
2020-12-11,Kansas Jayhawks,Omaha Mavericks,95,50,2021
2020-12-11,Creighton Bluejays,Nebraska Cornhuskers,98,74,2021
2020-12-11,Georgetown Hoyas,Villanova Wildcats,63,76,2021
2020-12-11,West Virginia Mountaineers,North Texas Mean Green,62,50,2021
2020-12-12,Missouri Tigers,Illinois Fighting Illini,81,78,2021
2020-12-12,North Carolina Tar Heels,North Carolina Central Eagles,73,67,2021
2020-12-12,Florida State Seminoles,Florida Gators,83,71,2021
2020-12-13,Iowa Hawkeyes,Northern Illinois Huskies,106,53,2021
2020-12-13,Michigan State Spartans,Oakland Golden Grizzlies,109,91,2021
2020-12-13,West Virginia Mountaineers,Richmond Spiders,87,71,2021
2020-12-13,Ohio State Buckeyes,Cleveland State Vikings,67,61,2021
2020-12-13,Grand Canyon Lopes,Arizona State Sun Devils,70,71,2021
2020-12-14,Creighton Bluejays,Marquette Golden Eagles,84,89,2021
2020-12-14,Maryland Terrapins,Rutgers Scarlet Knights,60,74,2021
2020-12-15,Tennessee Volunteers,App State Mountaineers,79,38,2021
2020-12-15,Wisconsin Badgers,Loyola Chicago Ramblers,77,63,2021
2020-12-15,Illinois Fighting Illini,Minnesota Golden Gophers,92,65,2021
2020-12-15,Florida State Seminoles,Georgia Tech Yellow Jackets,74,61,2021
2020-12-16,Villanova Wildcats,Butler Bulldogs,85,66,2021
2020-12-16,Texas Longhorns,Sam Houston Bearkats,79,63,2021
2020-12-16,Purdue Boilermakers,Ohio State Buckeyes,67,60,2021
2020-12-17,Texas Tech Red Raiders,Kansas Jayhawks,57,58,2021
2020-12-17,St. John's Red Storm,Creighton Bluejays,76,94,2021
2020-12-18,West Virginia Mountaineers,Iowa State Cyclones,70,65,2021
2020-12-18,Tennessee Volunteers,Tennessee Tech Golden Eagles,103,49,2021
2020-12-18,San Diego State Aztecs,BYU Cougars,62,72,2021
2020-12-19,Kansas State Wildcats,Baylor Bears,69,100,2021
2020-12-19,Villanova Wildcats,Saint Joseph's Hawks,88,68,2021
2020-12-19,Florida State Seminoles,UCF Knights,74,86,2021
2020-12-20,Northwestern Wildcats,Michigan State Spartans,79,65,2021
2020-12-20,Houston Cougars,Alcorn State Braves,88,55,2021
2020-12-20,UConn Huskies,Creighton Bluejays,74,76,2021
2020-12-20,Texas Longhorns,Oklahoma State Cowboys,77,74,2021
2020-12-20,Rutgers Scarlet Knights,Illinois Fighting Illini,91,88,2021
2020-12-21,Gonzaga Bulldogs,Northwestern State Demons,95,57,2021
2020-12-21,Baylor Bears,Arkansas-Pine Bluff Golden Lions,99,42,2021
2020-12-21,Tennessee Volunteers,Saint Joseph's Hawks,102,66,2021
2020-12-21,Florida State Seminoles,Gardner-Webb Runnin' Bulldogs,72,59,2021
2020-12-21,Virginia Tech Hokies,Longwood Lancers,84,58,2021
2020-12-22,Gonzaga Bulldogs,Northwestern State Demons,95,78,2021
2020-12-22,Kansas Jayhawks,West Virginia Mountaineers,79,65,2021
2020-12-22,Iowa Hawkeyes,Purdue Boilermakers,70,55,2021
2020-12-22,Houston Cougars,Temple Owls,76,50,2021
2020-12-22,Wisconsin Badgers,Nebraska Cornhuskers,67,53,2021
2020-12-22,Missouri Tigers,Bradley Braves,54,53,2021
2020-12-22,Oklahoma Sooners,Texas Tech Red Raiders,67,69,2021
2020-12-22,Virginia Cavaliers,William & Mary Tribe,76,40,2021
2020-12-22,NC State Wolfpack,North Carolina Tar Heels,79,76,2021
2020-12-23,Marquette Golden Eagles,Villanova Wildcats,68,85,2021
2020-12-23,Ohio State Buckeyes,Rutgers Scarlet Knights,80,68,2021
2020-12-23,Creighton Bluejays,Xavier Musketeers,66,61,2021
2020-12-23,Penn State Nittany Lions,Illinois Fighting Illini,81,98,2021
2020-12-25,Minnesota Golden Gophers,Iowa Hawkeyes,102,95,2021
2020-12-25,Michigan State Spartans,Wisconsin Badgers,76,85,2021
