season,team,games,off_eff,def_eff,pace
2023,Wisconsin Badgers,8,94.48,93.39,63.84
2023,Xavier Musketeers,19,118.96,110.02,77.81
2024,Alabama Crimson Tide,19,132.78,120.87,86.19
2024,Arizona Wildcats,27,130.72,104.13,79.8
2024,Arkansas Razorbacks,10,112.86,115.77,77.69
2024,Arkansas-Pine Bluff Golden Lions,5,120.99,138.4,88.14
2024,Auburn Tigers,19,120.1,101.24,75.21
2024,BYU Cougars,24,114.55,104.33,74.38
2024,Baylor Bears,26,118.46,100.82,74.51
2024,Boise State Broncos,6,106.14,106.14,72.14
2024,Butler Bulldogs,7,102.38,113.98,73.52
2024,Cincinnati Bearcats,10,97.63,100.1,67.19
2024,Clemson Tigers,11,116.72,109.86,76.99
2024,Colorado Buffaloes,5,116.93,125.05,82.23
2024,Colorado State Rams,13,109.25,101.44,71.59
2024,Creighton Bluejays,27,119.66,101.01,74.98
2024,Dayton Flyers,16,111.61,98.29,71.32
2024,DePaul Blue Demons,9,90.91,126.53,73.89
2024,Duke Blue Devils,29,116.76,97.5,72.8
2024,Florida Atlantic Owls,19,120.18,103.69,76.07
2024,Florida Gators,9,122.5,118.15,81.78
2024,Georgetown Hoyas,6,88.25,122.1,71.48
2024,Georgia Bulldogs,5,117.51,134.63,85.68
2024,Gonzaga Bulldogs,14,127.87,99.79,77.36
2024,Houston Cougars,27,108.53,82.1,64.78
2024,Illinois Fighting Illini,28,120.36,106.06,76.94
2024,Indiana Hoosiers,6,99.37,112.19,71.89
2024,Iowa Hawkeyes,9,110.74,123.47,79.59
2024,Iowa State Cyclones,18,100.82,95.02,66.55
2024,Jacksonville Dolphins,5,96.62,107.64,69.41
2024,James Madison Dukes,11,123.31,98.12,75.24
2024,Kansas Jayhawks,26,109.92,99.65,71.21
2024,Kansas State Wildcats,9,96.39,105.26,68.52
2024,Kentucky Wildcats,28,130.72,114.76,83.42
2024,LSU Tigers,6,112.67,122.58,79.94
2024,Manhattan Jaspers,6,87.77,112.67,68.11
2024,Marquette Golden Eagles,28,115.85,101.45,73.84
2024,Memphis Tigers,12,120.17,111.7,78.79
2024,Miami Hurricanes,11,116.58,105.24,75.38
2024,Michigan State Spartans,10,106.92,98.21,69.7
2024,Michigan Wolverines,5,103.29,126.5,78.08
2024,Mississippi State Bulldogs,10,104.16,111.56,73.3
2024,Missouri Tigers,5,103.29,121.57,76.41
2024,Morgan State Bears,5,92.85,130.85,76.01
2024,Nebraska Cornhuskers,6,111.22,121.38,79.04
2024,Nevada Wolf Pack,6,101.31,98.89,68.03
2024,New Mexico Lobos,12,116.78,109.65,76.94
2024,North Carolina Tar Heels,25,117.86,98.94,73.67
2024,Northwestern Wildcats,7,112.33,118.54,78.45
2024,Notre Dame Fighting Irish,5,78.63,105.03,62.41
2024,Ohio State Buckeyes,5,95.17,105.03,68.03
2024,Oklahoma Sooners,19,105.75,99.64,69.79
2024,Oklahoma State Cowboys,7,99.89,118.96,74.37
2024,Ole Miss Rebels,10,105.03,116.2,75.18
2024,Pennsylvania Quakers,5,95.75,111.99,70.59
2024,Providence Friars,8,95.2,106.08,68.4
2024,Purdue Boilermakers,26,122.98,100.54,75.95
2024,Rider Broncs,5,100.97,98.94,67.93
2024,Rutgers Scarlet Knights,5,94.88,110.83,69.9
2024,Saint Mary's Gaels,9,112.99,84.14,66.99
2024,San Diego State Aztecs,16,105.81,99.46,69.75
2024,San José State Spartans,6,99.37,121.86,75.18
2024,Seton Hall Pirates,8,99.74,112.07,71.97
2024,South Carolina Gamecocks,12,103.0,101.67,69.55
2024,South Florida Bulls,6,115.09,106.63,75.34
2024,Southern Jaguars,5,91.1,114.61,69.9
2024,St. John's Red Storm,7,105.9,110.25,73.45
2024,TCU Horned Frogs,12,107.96,108.56,73.57
2024,Tennessee Volunteers,27,118.64,98.49,73.78
2024,Texas A&M Aggies,13,105.57,103.89,71.18
2024,Texas Longhorns,22,108.41,99.37,70.6
2024,Texas Tech Red Raiders,13,107.69,107.13,73.0
2024,UCF Knights,12,95.14,97.08,65.32
2024,UConn Huskies,28,118.6,93.57,72.1
2024,USC Trojans,6,107.11,101.79,70.99
2024,Utah State Aggies,15,115.28,105.71,75.09
2024,Vanderbilt Commodores,9,94.62,121.7,73.51
2024,Villanova Wildcats,13,104.79,99.09,69.28
2024,Virginia Cavaliers,8,81.96,85.23,56.81
2024,Wake Forest Demon Deacons,5,101.84,101.26,69.01
2024,Washington State Cougars,6,104.21,103.48,70.58
2024,West Virginia Mountaineers,7,104.24,119.16,75.92
2024,Wisconsin Badgers,22,108.01,104.58,72.24
2024,Wyoming Cowboys,5,99.23,124.76,76.11
2024,Xavier Musketeers,8,100.64,120.59,75.18
2024,Yale Bulldogs,5,105.61,94.01,67.83
