date,home_team,away_team,home_score,away_score,season
2018-11-06,Gonzaga Bulldogs,Idaho State Bengals,120,79,2019
2018-11-06,Tennessee Volunteers,Lenoir-Rhyne Bears,86,41,2019
2018-11-06,Nevada Wolf Pack,BYU Cougars,86,70,2019
2018-11-06,Wofford Terriers,North Carolina Tar Heels,67,78,2019
2018-11-06,Villanova Wildcats,Morgan State Bears,100,77,2019
2018-11-06,Auburn Tigers,South Alabama Jaguars,101,58,2019
2018-11-06,Oregon Ducks,Portland State Vikings,84,57,2019
2018-11-06,Florida State Seminoles,Florida Gators,81,60,2019
2018-11-06,UCLA Bruins,Purdue Fort Wayne Mastodons,96,71,2019
2018-11-06,Clemson Tigers,The Citadel Bulldogs,100,80,2019
2018-11-06,LSU Tigers,SE Louisiana Lions,94,63,2019
2018-11-06,Purdue Boilermakers,Fairfield Stags,90,57,2019
2018-11-07,TCU Horned Frogs,Cal State Bakersfield Roadrunners,66,61,2019
2018-11-08,Cornell Big Red,SUNY-Canton Roos,86,44,2019
2018-11-08,Norfolk State Spartans,Mid-Atlantic Christian Mustangs,108,50,2019
2018-11-08,Purdue Fort Wayne Mastodons,Earlham Quakers,112,51,2019
2018-11-08,East Tennessee State Buccaneers,Hiwassee Tigers,109,44,2019
2018-11-08,UNC Asheville Bulldogs,St. Andrews Knights,87,47,2019
2018-11-08,Liberty Flames,Maine-Fort Kent Bengals,89,40,2019
2018-11-08,Florida Gulf Coast Eagles,Southeastern Fires,81,54,2019
2018-11-08,George Washington Revolutionaries,Siena Saints,61,69,2019
2018-11-08,UConn Huskies,Morehead State Eagles,80,70,2019
2018-11-08,Louisville Cardinals,Nicholls Colonels,85,72,2019
2018-11-08,Notre Dame Fighting Irish,Chicago State Cougars,89,62,2019
2018-11-08,Stephen F. Austin Lumberjacks,Southwestern Assemblies of God Lions,68,67,2019
2018-11-08,Little Rock Trojans,Southeastern Oklahoma State Savage Storm,101,92,2019
2018-11-08,Central Arkansas Bears,Hendrix College Warriors,99,73,2019
2018-11-08,Sam Houston Bearkats,Southwestern (TX) Pirates,94,56,2019
