date,home_team,away_team,home_score,away_score,season
2019-11-05,Miami Hurricanes,Louisville Cardinals,74,87,2020
2019-11-05,Florida Gators,North Florida Ospreys,74,59,2020
2019-11-05,Maryland Terrapins,Holy Cross Crusaders,95,71,2020
2019-11-05,Gonzaga Bulldogs,Alabama State Hornets,95,64,2020
2019-11-05,Villanova Wildcats,Army Black Knights,97,54,2020
2019-11-05,Seton Hall Pirates,Wagner Seahawks,105,71,2020
2019-11-05,Texas Tech Red Raiders,Eastern Illinois Panthers,85,60,2020
2019-11-05,Memphis Tigers,South Carolina State Bulldogs,97,64,2020
2019-11-05,Oregon Ducks,Fresno State Bulldogs,71,57,2020
2019-11-05,Baylor Bears,Central Arkansas Bears,105,61,2020
2019-11-05,Utah State Aggies,Montana State Bobcats,81,73,2020
2019-11-05,Xavier Musketeers,Jacksonville Dolphins,76,57,2020
2019-11-05,Auburn Tigers,Georgia Southern Eagles,83,74,2020
2019-11-05,VCU Rams,Saint Francis Red Flash,72,58,2020
2019-11-06,North Carolina Tar Heels,Notre Dame Fighting Irish,76,65,2020
2019-11-06,Syracuse Orange,Virginia Cavaliers,34,48,2020
2019-11-06,Ohio State Buckeyes,Cincinnati Bearcats,64,56,2020
2019-11-06,Arizona Wildcats,Northern Arizona Lumberjacks,91,52,2020
2019-11-06,Purdue Boilermakers,Green Bay Phoenix,79,57,2020
2019-11-07,Omaha Mavericks,Midland University Midland,72,53,2020
2019-11-07,Morehead State Eagles,Spalding Pelicans,92,44,2020
2019-11-07,Purdue Fort Wayne Mastodons,Manchester Spartans,91,80,2020
2019-11-07,Marshall Thundering Herd,Robert Morris Colonials,67,60,2020
2019-11-07,App State Mountaineers,Ferrum Panthers,83,56,2020
2019-11-07,Hartford Hawks,Winthrop Eagles,57,67,2020
2019-11-07,Clemson Tigers,Presbyterian Blue Hose,79,45,2020
2019-11-07,North Florida Ospreys,Florida National Conquistadors,89,81,2020
2019-11-07,Rutgers Scarlet Knights,Bryant Bulldogs,73,71,2020
2019-11-07,Samford Bulldogs,Kentucky Wesleyan Panthers,68,42,2020
2019-11-07,South Dakota State Jackrabbits,Peru State PERU STATE,86,58,2020
2019-11-07,North Dakota State Bison,Mayville St Comets,93,53,2020
2019-11-07,North Dakota Fighting Hawks,Crown Polars,86,61,2020
2019-11-07,Central Arkansas Bears,Hendrix College Warriors,71,51,2020
2019-11-07,Troy Trojans,UAB Blazers,75,76,2020
2019-11-07,Drake Bulldogs,Kennesaw State Owls,86,55,2020
2019-11-07,TCU Horned Frogs,Southwestern (TX) Pirates,83,62,2020
2019-11-07,Washington State Cougars,Seattle U Redhawks,85,54,2020
2019-11-07,Air Force Falcons,Idaho State Bengals,79,89,2020
2019-11-07,UC Davis Aggies,Jessup University Warriors,109,63,2020
2019-11-08,Kentucky Wildcats,Eastern Kentucky Colonels,91,49,2020
2019-11-08,Kansas Jayhawks,UNC Greensboro Spartans,74,62,2020
2019-11-08,Duke Blue Devils,Colorado State Rams,89,55,2020
2019-11-08,UNC Wilmington Seahawks,North Carolina Tar Heels,62,78,2020
2019-11-08,Utah State Aggies,Weber State Wildcats,89,34,2020
2019-11-08,Xavier Musketeers,Siena Saints,81,63,2020
2019-11-08,LSU Tigers,Bowling Green Falcons,88,79,2020
2019-11-08,VCU Rams,North Texas Mean Green,59,56,2020
2019-11-09,Maryland Terrapins,Rhode Island Rams,73,55,2020
2019-11-09,Gonzaga Bulldogs,Arkansas-Pine Bluff Golden Lions,110,60,2020
2019-11-09,Seton Hall Pirates,Stony Brook Seawolves,74,57,2020
2019-11-09,Texas Tech Red Raiders,Bethune-Cookman Wildcats,79,44,2020
2019-11-09,Oregon Ducks,Boise State Broncos,106,75,2020
2019-11-09,Purdue Boilermakers,Texas Longhorns,66,70,2020
2019-11-10,Michigan State Spartans,Binghamton Bearcats,100,47,2020
2019-11-10,Florida Gators,Florida State Seminoles,51,63,2020
2019-11-10,Virginia Cavaliers,James Madison Dukes,65,34,2020
2019-11-10,Ohio State Buckeyes,UMass Lowell River Hawks,76,56,2020
2019-11-10,Arizona Wildcats,Illinois Fighting Illini,90,69,2020
2019-11-11,Saint Mary's Gaels,Winthrop Eagles,59,61,2020
2019-11-12,Kentucky Wildcats,Evansville Purple Aces,64,67,2020
2019-11-12,Gonzaga Bulldogs,North Dakota Fighting Hawks,97,66,2020
2019-11-12,Utah State Aggies,Denver Pioneers,97,56,2020
2019-11-12,Washington Huskies,Mount St. Mary's Mountaineers,56,46,2020
2019-11-12,Xavier Musketeers,Missouri Tigers,63,58,2020
2019-11-12,South Alabama Jaguars,Auburn Tigers,69,70,2020
2019-11-13,Louisville Cardinals,Indiana State Sycamores,91,62,2020
2019-11-13,VCU Rams,LSU Tigers,84,82,2020
2019-11-14,Florida Gators,Towson Tigers,66,60,2020
2019-11-14,Saint Mary's Gaels,Long Beach State Beach,81,63,2020
2019-11-14,Arizona Wildcats,San José State Spartans,87,39,2020
2019-11-15,Kansas Jayhawks,Monmouth Hawks,112,57,2020
2019-11-15,North Carolina Tar Heels,Gardner-Webb Runnin' Bulldogs,77,61,2020
2019-11-15,Texas A&M Aggies,Gonzaga Bulldogs,49,79,2020
2019-11-15,Utah State Aggies,North Carolina A&T Aggies,81,54,2020
2019-11-15,Xavier Musketeers,Missouri State Bears,59,56,2020
2019-11-15,Baylor Bears,Texas State Bobcats,72,63,2020
2019-11-16,Maryland Terrapins,Oakland Golden Grizzlies,80,50,2020
2019-11-16,LSU Tigers,Nicholls Colonels,75,65,2020
2019-11-16,Colorado Buffaloes,San Diego Toreros,71,53,2020
2019-11-17,Saint Louis Billikens,Seton Hall Pirates,66,83,2020
2019-11-17,Oregon Ducks,UT Arlington Mavericks,67,47,2020
2019-11-17,UConn Huskies,Florida Gators,62,59,2020
2019-11-17,Saint Mary's Gaels,Cal Poly Mustangs,79,48,2020
2019-11-17,Arizona Wildcats,New Mexico State Aggies,83,53,2020
2019-11-18,Utah State Aggies,UTSA Roadrunners,82,50,2020
2019-11-18,Colorado Buffaloes,UC Irvine Anteaters,69,53,2020
2019-11-19,Maryland Terrapins,Fairfield Stags,74,55,2020
2019-11-19,Washington Huskies,Maine Black Bears,72,53,2020
2019-11-20,Miami (OH) RedHawks,Central State Marauders,80,45,2020
2019-11-20,Florida State Seminoles,Chattanooga Mocs,89,53,2020
2019-11-20,VMI Keydets,Christendom Crusaders,96,20,2020
2019-11-20,Wright State Raiders,Urbana Blue Knights,88,51,2020
2019-11-20,Ball State Cardinals,Northern Kentucky Norse,57,59,2020
2019-11-20,Old Dominion Monarchs,James Madison Dukes,78,80,2020
2019-11-20,Saint Peter's Peacocks,Wagner Seahawks,77,81,2020
2019-11-20,Yale Bulldogs,Siena Saints,100,89,2020
2019-11-20,Drexel Dragons,Bryant Bulldogs,86,74,2020
2019-11-20,NJIT Highlanders,Binghamton Bearcats,75,77,2020
2019-11-20,Massachusetts Minutemen,Rider Broncs,82,72,2020
2019-11-20,Tennessee Volunteers,Alabama State Hornets,76,41,2020
2019-11-20,St. John's Red Storm,Columbia Lions,82,63,2020
2019-11-20,Virginia Tech Hokies,Delaware State Hornets,100,64,2020
2019-11-20,Louisville Cardinals,South Carolina Upstate Spartans,76,50,2020
2019-11-20,Georgia Bulldogs,Georgia Tech Yellow Jackets,82,78,2020
2019-11-20,Boston College Eagles,Eastern Washington Eagles,72,68,2020
2019-11-20,Indiana Hoosiers,Princeton Tigers,79,54,2020
2019-11-20,Rutgers Scarlet Knights,Stephen F. Austin Lumberjacks,69,57,2020
2019-11-20,Sam Houston Bearkats,LeTourneau Yellow Jackets,88,58,2020
2019-11-20,Lipscomb Bisons,Belmont Bruins,67,73,2020
2019-11-20,Florida Gulf Coast Eagles,Florida Atlantic Owls,72,70,2020
2019-11-20,Syracuse Orange,Cornell Big Red,72,53,2020
2019-11-20,UAB Blazers,Mount St. Mary's Mountaineers,58,51,2020
2019-11-20,Northern Iowa Panthers,Cornell (IA) Rams,88,66,2020
2019-11-20,Loyola Chicago Ramblers,IU Indianapolis Jaguars,85,62,2020
2019-11-20,Saint Louis Billikens,High Point Panthers,67,55,2020
2019-11-20,Tulsa Golden Hurricane,SE Louisiana Lions,73,66,2020
2019-11-20,Memphis Tigers,Little Rock Trojans,68,58,2020
2019-11-20,Vanderbilt Commodores,Austin Peay Governors,90,72,2020
2019-11-20,Texas A&M Aggies,Troy Trojans,56,52,2020
2019-11-20,Missouri Tigers,Morehead State Eagles,70,52,2020
2019-11-20,Northern Arizona Lumberjacks,Benedictine Mesa Redhawks,93,56,2020
2019-11-20,Chicago State Cougars,North Park Vikings,79,66,2020
2019-11-20,Western Illinois Leathernecks,Northern Illinois Huskies,81,86,2020
2019-11-20,North Carolina Tar Heels,Elon Phoenix,75,61,2020
2019-11-20,Colorado State Rams,Arkansas State Red Wolves,78,80,2020
2019-11-20,Illinois Fighting Illini,The Citadel Bulldogs,85,57,2020
2019-11-20,Boise State Broncos,BYU Cougars,72,68,2020
2019-11-20,San José State Spartans,Grambling Tigers,83,76,2020
2019-11-20,UNLV Rebels,Texas State Bobcats,57,64,2020
2019-11-20,Oregon State Beavers,UC Santa Barbara Gauchos,78,67,2020
2019-11-20,Portland State Vikings,Portland Pilots,75,82,2020
2019-11-20,San Diego Toreros,San Diego State Aztecs,49,66,2020
2019-11-21,Arizona Wildcats,South Dakota State Jackrabbits,71,64,2020
2019-11-22,Maryland Terrapins,George Mason Patriots,86,63,2020
2019-11-22,Ohio State Buckeyes,Purdue Fort Wayne Mastodons,85,46,2020
2019-11-22,Oregon Ducks,Houston Cougars,78,66,2020
2019-11-22,Washington Huskies,Montana Grizzlies,73,56,2020
2019-11-23,Gonzaga Bulldogs,Cal State Bakersfield Roadrunners,77,49,2020
2019-11-23,Seton Hall Pirates,Florida A&M Rattlers,87,51,2020
2019-11-23,Memphis Tigers,Ole Miss Rebels,87,86,2020
2019-11-23,VCU Rams,Florida Gulf Coast Eagles,78,48,2020
2019-11-24,Washington Huskies,San Diego Toreros,88,69,2020
2019-11-25,VCU Rams,Alabama State Hornets,78,62,2020
2019-11-26,Duke Blue Devils,Stephen F. Austin Lumberjacks,83,85,2020
2019-11-27,Virginia Cavaliers,Maine Black Bears,46,26,2020
2019-11-28,Elon Phoenix,UT Arlington Mavericks,67,77,2020
2019-11-29,Duke Blue Devils,Winthrop Eagles,83,70,2020
2019-11-29,Ohio State Buckeyes,Morgan State Bears,90,57,2020
2019-11-29,Saint Mary's Gaels,Utah State Aggies,81,73,2020
2019-11-29,Florida Gators,Marshall Thundering Herd,73,67,2020
2019-11-30,Colorado Buffaloes,Sacramento State Hornets,59,45,2020
2019-11-30,Xavier Musketeers,Lipscomb Bisons,87,62,2020
